q_id,web_list
1,"[372, 108, 1157, 789, 1098]"
2,"[372, 368, 1157, 1098, 1609]"
3,"[116, 1915, 1147, 1067, 857]"
4,"[1043, 478, 1038, 1924, 1552]"
5,"[1029, 165, 1040, 1586, 1025]"
6,"[108, 891, 1915, 349, 1721]"
7,"[1662, 1091, 747, 360, 763]"
8,"[1157, 812, 1677, 368, 762]"
9,"[1937, 165, 920, 159, 937]"
10,"[455, 1067, 116, 1924, 454]"
11,"[116, 440, 1915, 1243, 890]"
12,"[1611, 1192, 1712, 109, 1604]"
13,"[937, 164, 1915, 165, 163]"
14,"[372, 368, 1736, 762, 1737]"
15,"[18, 1204, 1203, 807, 696]"
16,"[395, 357, 1133, 380, 361]"
17,"[372, 368, 1157, 1736, 365]"
18,"[58, 54, 1298, 57, 691]"
19,"[1543, 1915, 1900, 1277, 97]"
20,"[97, 900, 102, 409, 1915]"
21,"[455, 116, 454, 1724, 1924]"
22,"[891, 1619, 108, 369, 362]"
23,"[410, 1202, 1666, 1648, 1908]"
24,"[1541, 1025, 654, 1553, 1624]"
25,"[1915, 1536, 920, 884, 1055]"
26,"[1570, 862, 717, 372, 1609]"
27,"[878, 1544, 925, 1025, 60]"
28,"[98, 289, 922, 97, 96]"
29,"[1915, 886, 410, 1202, 89]"
30,"[922, 1067, 1884, 1924, 1907]"
31,"[937, 165, 159, 959, 1205]"
32,"[116, 1915, 1543, 1561, 1900]"
33,"[455, 1924, 454, 478, 1884]"
34,"[1157, 1677, 522, 108, 789]"
35,"[1720, 743, 368, 1157, 1186]"
36,"[1164, 1012, 257, 975, 584]"
37,"[1720, 743, 1725, 762, 666]"
38,"[368, 1157, 765, 768, 743]"
39,"[478, 1924, 1915, 124, 1884]"
40,"[97, 96, 1932, 98, 1746]"
41,"[1525, 1559, 1524, 453, 60]"
42,"[372, 1570, 717, 1098, 1157]"
43,"[666, 743, 789, 90, 365]"
44,"[60, 410, 1197, 887, 380]"
45,"[975, 927, 914, 54, 441]"
46,"[1042, 164, 937, 159, 163]"
47,"[1907, 1745, 1671, 1616, 1915]"
48,"[1528, 1906, 1064, 1588, 1113]"
49,"[1132, 333, 1030, 1064, 1123]"
50,"[410, 1202, 1749, 1648, 743]"
51,"[1720, 743, 789, 775, 753]"
52,"[1915, 1543, 1900, 98, 890]"
53,"[108, 789, 1157, 372, 135]"
54,"[692, 98, 97, 688, 333]"
55,"[1720, 743, 757, 753, 1186]"
56,"[1915, 1543, 113, 112, 1904]"
57,"[1157, 1186, 743, 1609, 1720]"
58,"[692, 1098, 992, 1141, 691]"
59,"[440, 1915, 1544, 1240, 1744]"
60,"[1178, 1123, 1132, 440, 1127]"
61,"[1157, 1721, 1251, 1716, 743]"
62,"[478, 361, 1924, 108, 692]"
63,"[1071, 868, 1915, 1748, 96]"
64,"[1539, 1532, 1067, 1065, 819]"
65,"[259, 1011, 995, 226, 257]"
66,"[1543, 1260, 1258, 1552, 108]"
67,"[783, 1091, 739, 801, 1739]"
68,"[60, 1028, 96, 1887, 1118]"
69,"[1915, 410, 956, 357, 913]"
70,"[1896, 1157, 259, 1517, 441]"
71,"[165, 1543, 1533, 937, 124]"
72,"[891, 1019, 353, 781, 1176]"
73,"[1247, 411, 1004, 1003, 240]"
74,"[163, 1583, 1037, 164, 1030]"
75,"[1915, 89, 1066, 1064, 922]"
76,"[886, 1915, 1586, 921, 1072]"
77,"[1917, 1543, 1915, 359, 1900]"
78,"[97, 96, 116, 1619, 692]"
79,"[1029, 159, 921, 670, 163]"
80,"[372, 108, 1067, 127, 369]"
81,"[438, 390, 1132, 1907, 1636]"
82,"[1915, 1299, 452, 1421, 1068]"
83,"[688, 1344, 97, 695, 696]"
84,"[1570, 216, 717, 1098, 862]"
85,"[1043, 410, 1202, 1915, 286]"
86,"[412, 440, 471, 798, 1657]"
87,"[60, 1553, 1541, 1552, 171]"
88,"[1157, 1607, 1896, 368, 1567]"
89,"[1570, 116, 372, 717, 1098]"
90,"[108, 430, 1535, 1322, 1260]"
91,"[1713, 175, 1655, 1070, 1516]"
92,"[114, 16, 116, 455, 1567]"
93,"[1932, 1931, 108, 1721, 891]"
94,"[124, 116, 97, 1070, 478]"
95,"[1915, 1066, 1543, 1067, 1032]"
96,"[862, 857, 400, 1536, 886]"
97,"[411, 412, 446, 414, 65]"
98,"[887, 322, 1125, 108, 1067]"
99,"[1121, 310, 658, 1594, 714]"
100,"[1556, 1066, 1538, 1615, 1907]"
101,"[1543, 1915, 1900, 362, 1902]"
102,"[1607, 1298, 851, 1721, 789]"
103,"[761, 1915, 757, 762, 743]"
104,"[926, 1113, 97, 1618, 1884]"
105,"[170, 161, 1278, 925, 1504]"
106,"[1008, 365, 1014, 322, 1075]"
107,"[411, 412, 446, 65, 1648]"
108,"[657, 862, 664, 32, 643]"
109,"[416, 1495, 1290, 743, 1882]"
110,"[1252, 1251, 1607, 1609, 1298]"
111,"[417, 1557, 1915, 1120, 1612]"
112,"[921, 419, 1026, 1908, 1041]"
113,"[60, 422, 24, 1428, 102]"
114,"[1543, 1915, 1900, 60, 1068]"
115,"[629, 362, 410, 1603, 1915]"
116,"[1937, 1029, 1040, 165, 1043]"
117,"[1907, 1671, 1616, 1745, 112]"
118,"[765, 739, 743, 742, 756]"
119,"[108, 1721, 1907, 369, 1550]"
120,"[657, 714, 638, 663, 653]"
121,"[1186, 1157, 1720, 1609, 368]"
122,"[642, 657, 1301, 653, 452]"
123,"[921, 934, 165, 1034, 1672]"
124,"[1570, 1098, 717, 692, 1643]"
125,"[678, 1251, 1623, 1188, 1266]"
126,"[1028, 1915, 628, 878, 60]"
127,"[1618, 164, 937, 159, 921]"
128,"[114, 1113, 16, 455, 1929]"
129,"[1157, 1186, 743, 1609, 1720]"
130,"[292, 692, 1655, 339, 1722]"
131,"[60, 61, 1145, 1657, 714]"
132,"[1907, 108, 1401, 1040, 1609]"
133,"[1924, 1915, 478, 116, 1543]"
134,"[1043, 1924, 937, 159, 1030]"
135,"[1720, 743, 757, 753, 740]"
136,"[1121, 401, 393, 325, 47]"
137,"[1570, 1607, 1157, 717, 1517]"
138,"[409, 1609, 108, 89, 1067]"
139,"[1648, 1915, 886, 151, 152]"
140,"[913, 1290, 962, 140, 692]"
141,"[1260, 1261, 1258, 108, 1256]"
142,"[1937, 1526, 1064, 1528, 1030]"
143,"[1193, 920, 935, 921, 165]"
144,"[1054, 1031, 1038, 269, 938]"
145,"[1119, 1011, 188, 144, 862]"
146,"[453, 78, 1524, 1559, 133]"
147,"[1915, 163, 927, 96, 922]"
148,"[1629, 1539, 1623, 677, 1563]"
149,"[1098, 1089, 372, 717, 368]"
150,"[334, 342, 108, 53, 1157]"
151,"[1915, 1042, 1026, 409, 1030]"
152,"[1113, 1066, 292, 1655, 1067]"
153,"[921, 1915, 419, 1029, 406]"
154,"[1525, 453, 1516, 83, 856]"
155,"[1726, 692, 1604, 1601, 678]"
156,"[6, 11, 1908, 1744, 1882]"
157,"[372, 1609, 1158, 762, 775]"
158,"[1071, 103, 811, 1069, 1067]"
159,"[1277, 116, 1638, 1521, 1614]"
160,"[470, 620, 1046, 670, 357]"
161,"[868, 1071, 1748, 164, 922]"
162,"[1536, 124, 1629, 1549, 921]"
163,"[1067, 1926, 878, 677, 101]"
164,"[349, 891, 447, 1269, 1931]"
165,"[133, 907, 852, 83, 300]"
166,"[1015, 1287, 1570, 793, 135]"
167,"[1541, 876, 102, 1025, 1746]"
168,"[1912, 967, 954, 990, 1049]"
169,"[137, 136, 138, 270, 273]"
170,"[361, 410, 1202, 360, 1156]"
171,"[1673, 1674, 124, 670, 470]"
172,"[1907, 1067, 1064, 1884, 677]"
173,"[438, 47, 1194, 16, 828]"
174,"[1115, 1907, 1897, 1922, 1067]"
175,"[1313, 794, 99, 922, 1044]"
176,"[1184, 1915, 1001, 1277, 1050]"
177,"[900, 357, 885, 1194, 1882]"
178,"[1674, 1913, 890, 1067, 1064]"
179,"[875, 1117, 1116, 440, 667]"
180,"[1915, 1543, 1021, 362, 1900]"
181,"[717, 1098, 1570, 415, 1903]"
182,"[372, 1098, 1570, 1089, 717]"
183,"[1543, 1915, 1900, 1552, 101]"
184,"[1915, 1544, 412, 885, 1068]"
185,"[470, 620, 670, 49, 1582]"
186,"[368, 1157, 789, 372, 1607]"
187,"[113, 1522, 937, 1915, 97]"
188,"[116, 1884, 1067, 1516, 1924]"
189,"[61, 3, 135, 11, 132]"
190,"[1915, 1543, 1900, 1561, 1552]"
191,"[1066, 108, 481, 369, 292]"
192,"[410, 900, 1202, 1908, 1666]"
193,"[1609, 1915, 1021, 362, 1202]"
194,"[1629, 1907, 1044, 125, 1623]"
195,"[430, 1259, 1253, 1298, 1260]"
196,"[103, 1071, 868, 1028, 1748]"
197,"[768, 765, 742, 743, 766]"
198,"[1619, 926, 1557, 1618, 1617]"
199,"[1601, 783, 108, 132, 952]"
200,"[455, 454, 1724, 868, 1543]"
201,"[165, 1587, 921, 1915, 937]"
202,"[1543, 1915, 1900, 921, 410]"
203,"[845, 82, 818, 692, 484]"
204,"[1607, 1157, 1517, 1544, 90]"
205,"[1721, 478, 108, 1924, 1040]"
206,"[1525, 453, 133, 78, 857]"
207,"[454, 16, 467, 1145, 461]"
208,"[1726, 1277, 692, 582, 1481]"
209,"[1025, 1063, 1915, 1913, 1746]"
210,"[1937, 184, 942, 944, 1046]"
211,"[441, 1924, 919, 478, 163]"
212,"[1748, 1915, 868, 1071, 1543]"
213,"[114, 1067, 922, 1064, 1907]"
214,"[1257, 1675, 1253, 1609, 902]"
215,"[1899, 1064, 1926, 1897, 1526]"
216,"[1064, 1916, 1113, 1067, 1884]"
217,"[1098, 61, 60, 53, 717]"
218,"[1937, 1029, 165, 1042, 1588]"
219,"[7, 108, 1619, 1617, 125]"
220,"[1915, 108, 1040, 98, 125]"
221,"[1157, 108, 1607, 1277, 1721]"
222,"[945, 209, 1013, 1011, 189]"
223,"[1064, 1749, 936, 1674, 163]"
224,"[1567, 1896, 1157, 1067, 1072]"
225,"[1916, 759, 89, 752, 1473]"
226,"[412, 414, 890, 112, 614]"
227,"[1043, 1036, 1040, 919, 1026]"
228,"[390, 455, 114, 108, 1064]"
229,"[1584, 1015, 42, 828, 1573]"
230,"[1033, 920, 937, 165, 959]"
231,"[1249, 452, 1421, 1417, 1299]"
232,"[1674, 677, 922, 60, 1064]"
