q_id,web_list
1,"[1567, 1896, 595, 599, 590]"
2,"[1567, 1896, 595, 1517, 590]"
3,"[1567, 16, 1204, 1573, 790]"
4,"[1204, 1573, 468, 647, 1806]"
5,"[1193, 1029, 1033, 1034, 1026]"
6,"[1742, 1900, 1567, 1204, 16]"
7,"[1826, 61, 480, 62, 1517]"
8,"[1567, 1896, 128, 1927, 892]"
9,"[1193, 37, 1026, 43, 1489]"
10,"[16, 1204, 1567, 1573, 44]"
11,"[1883, 1806, 1708, 1204, 542]"
12,"[114, 16, 468, 889, 61]"
13,"[128, 1033, 1194, 43, 1204]"
14,"[739, 1567, 61, 398, 62]"
15,"[590, 1806, 595, 1883, 128]"
16,"[1574, 1573, 1193, 468, 1567]"
17,"[1567, 1896, 599, 595, 590]"
18,"[590, 595, 599, 587, 37]"
19,"[1567, 1204, 1915, 1742, 1573]"
20,"[1915, 468, 61, 125, 889]"
21,"[16, 1204, 542, 1679, 889]"
22,"[1900, 1742, 1915, 468, 61]"
23,"[1193, 1037, 1574, 735, 1029]"
24,"[1320, 1701, 128, 102, 420]"
25,"[468, 61, 1581, 1917, 1573]"
26,"[1567, 61, 1573, 1204, 1896]"
27,"[1320, 128, 420, 1564, 43]"
28,"[1915, 1742, 43, 1567, 1900]"
29,"[1915, 677, 478, 1032, 1927]"
30,"[43, 1567, 1194, 1573, 1563]"
31,"[1035, 604, 1630, 911, 1037]"
32,"[1204, 1915, 1567, 790, 1742]"
33,"[16, 1204, 1567, 1573, 542]"
34,"[1567, 61, 16, 128, 599]"
35,"[1567, 1896, 1204, 1573, 739]"
36,"[468, 1742, 61, 62, 1744]"
37,"[595, 599, 590, 587, 739]"
38,"[1896, 599, 1567, 398, 595]"
39,"[478, 1574, 468, 1915, 1194]"
40,"[1900, 478, 696, 1743, 1742]"
41,"[73, 1883, 128, 1320, 1708]"
42,"[1581, 128, 1517, 1896, 1567]"
43,"[1204, 1513, 1573, 542, 587]"
44,"[1567, 1204, 1806, 1513, 468]"
45,"[1204, 1573, 1806, 48, 1063]"
46,"[425, 1193, 1037, 1034, 1029]"
47,"[1915, 113, 1907, 1587, 43]"
48,"[1567, 1896, 37, 16, 43]"
49,"[1573, 1513, 1204, 16, 542]"
50,"[735, 1037, 1193, 1029, 425]"
51,"[739, 595, 599, 398, 590]"
52,"[1742, 1900, 478, 1574, 1743]"
53,"[1567, 1896, 16, 1573, 61]"
54,"[1204, 16, 1567, 1573, 1742]"
55,"[739, 61, 599, 398, 595]"
56,"[1567, 43, 37, 446, 1539]"
57,"[1896, 739, 1567, 1517, 595]"
58,"[1567, 1204, 16, 1742, 1573]"
59,"[1567, 1204, 1573, 443, 1679]"
60,"[1573, 1204, 16, 1744, 1567]"
61,"[1567, 1573, 16, 1204, 1157]"
