q_id,web_list
1,"[1157, 372, 1896, 593, 1098]"
2,"[1157, 1098, 1080, 135, 368]"
3,"[1900, 116, 114, 1902, 110]"
4,"[796, 1043, 1006, 1900, 1902]"
5,"[1193, 1029, 1034, 1025, 156]"
6,"[1902, 1900, 1915, 362, 687]"
7,"[615, 1928, 1738, 1178, 608]"
8,"[1607, 368, 65, 1927, 1896]"
9,"[1193, 1029, 1894, 1672, 1034]"
10,"[1902, 1915, 114, 1707, 1878]"
11,"[416, 16, 18, 1239, 417]"
12,"[1192, 1611, 1604, 1896, 1523]"
13,"[1193, 1527, 927, 1915, 113]"
14,"[372, 368, 1896, 739, 1157]"
15,"[1707, 1878, 1938, 646, 1700]"
16,"[1193, 900, 1564, 1489, 1888]"
17,"[368, 372, 1725, 1607, 1157]"
18,"[1607, 1567, 1725, 852, 1826]"
19,"[1915, 1900, 1279, 1200, 79]"
20,"[1915, 1249, 1543, 468, 1558]"
21,"[1902, 114, 1915, 18, 1567]"
22,"[1660, 791, 782, 787, 524]"
23,"[1809, 1193, 1149, 1574, 1034]"
24,"[124, 420, 1118, 1628, 1197]"
25,"[1917, 1922, 1897, 18, 1902]"
26,"[1098, 1157, 135, 132, 377]"
27,"[1902, 1197, 420, 1900, 18]"
28,"[1915, 1561, 1516, 1552, 1525]"
29,"[886, 1885, 1525, 1915, 1548]"
30,"[1904, 1589, 114, 1922, 43]"
31,"[1591, 1035, 1666, 1033, 730]"
32,"[1900, 1915, 114, 1902, 110]"
33,"[1902, 1915, 114, 1197, 18]"
34,"[65, 1874, 1157, 1824, 372]"
35,"[368, 1607, 372, 739, 1725]"
36,"[441, 18, 1063, 114, 1900]"
37,"[1865, 1827, 858, 1863, 1300]"
38,"[1607, 368, 1725, 372, 1157]"
39,"[478, 1924, 1894, 1915, 1884]"
40,"[1894, 687, 1607, 1900, 1893]"
41,"[1670, 1707, 1878, 1938, 45]"
42,"[1098, 135, 132, 717, 73]"
43,"[1721, 65, 51, 1799, 1798]"
44,"[1722, 1197, 60, 782, 1664]"
45,"[1063, 441, 1729, 1717, 645]"
46,"[1193, 1902, 1034, 1042, 1032]"
47,"[1627, 1527, 1922, 113, 1897]"
48,"[1896, 1567, 321, 1032, 106]"
49,"[1922, 1897, 1929, 1874, 18]"
50,"[1149, 1193, 1034, 1574, 1186]"
51,"[1186, 1725, 739, 770, 372]"
52,"[1915, 1902, 672, 478, 1516]"
53,"[135, 1867, 593, 1098, 1157]"
54,"[687, 688, 114, 110, 1193]"
55,"[1186, 1725, 739, 770, 1158]"
56,"[321, 43, 331, 1193, 1922]"
57,"[1607, 368, 739, 372, 1157]"
58,"[1203, 635, 660, 1934, 1684]"
59,"[18, 1249, 1723, 687, 1915]"
60,"[1178, 1600, 1123, 692, 688]"
61,"[1157, 1185, 368, 1080, 1158]"
62,"[1915, 1902, 1900, 1457, 1723]"
63,"[868, 103, 1915, 1900, 1748]"
64,"[1567, 1158, 1080, 1725, 331]"
65,"[1567, 16, 34, 216, 1686]"
66,"[1915, 1902, 1900, 1102, 478]"
67,"[884, 86, 60, 1737, 1573]"
68,"[420, 1902, 1073, 1313, 794]"
69,"[1915, 1340, 1193, 51, 1591]"
70,"[1896, 1193, 1567, 1072, 1894]"
71,"[1193, 1025, 1029, 1900, 113]"
72,"[1707, 1878, 1938, 1700, 861]"
73,"[930, 79, 604, 63, 65]"
74,"[1193, 1066, 1034, 18, 1915]"
75,"[419, 407, 1899, 1066, 406]"
76,"[1193, 1034, 1612, 1041, 1520]"
77,"[1900, 1902, 1050, 1027, 1915]"
78,"[110, 1555, 115, 1655, 418]"
79,"[1193, 1033, 1428, 1340, 1586]"
80,"[1032, 1064, 106, 419, 1926]"
81,"[1707, 1878, 1938, 1438, 16]"
82,"[1915, 1249, 1197, 1900, 884]"
83,"[1915, 1722, 687, 1249, 782]"
84,"[132, 135, 1098, 717, 363]"
85,"[1919, 1043, 334, 1037, 1590]"
86,"[344, 830, 1707, 1878, 1938]"
87,"[1118, 420, 1628, 124, 665]"
88,"[1896, 1072, 1607, 1567, 372]"
89,"[1098, 717, 135, 132, 368]"
90,"[54, 57, 58, 1664, 787]"
91,"[1713, 866, 1701, 1672, 155]"
92,"[1032, 16, 1064, 419, 106]"
93,"[1869, 1276, 1894, 471, 1580]"
94,"[418, 1724, 116, 1197, 1617]"
95,"[95, 1066, 1193, 37, 93]"
96,"[1915, 18, 1900, 362, 1902]"
97,"[814, 813, 1190, 1729, 604]"
98,"[1721, 368, 1125, 887, 1722]"
99,"[1717, 1707, 1878, 1938, 1317]"
100,"[1907, 1892, 1927, 1069, 1567]"
101,"[1915, 1902, 1900, 1148, 18]"
102,"[1607, 1707, 1878, 1938, 1725]"
103,"[1902, 1915, 1900, 1197, 1567]"
104,"[1618, 1617, 926, 16, 115]"
105,"[1772, 79, 65, 464, 930]"
106,"[1915, 1902, 18, 416, 417]"
107,"[1844, 1848, 1843, 1851, 1850]"
108,"[1895, 1287, 527, 1826, 828]"
109,"[853, 687, 446, 1888, 1106]"
110,"[1607, 1826, 1778, 644, 1700]"
111,"[1197, 1915, 853, 1900, 79]"
112,"[419, 1666, 1193, 1034, 1649]"
113,"[1197, 420, 124, 1118, 665]"
114,"[1915, 1193, 1896, 1197, 1861]"
115,"[18, 1915, 1902, 443, 1457]"
116,"[1193, 1029, 1034, 1026, 1054]"
117,"[113, 624, 842, 1539, 1025]"
118,"[1186, 1725, 770, 627, 669]"
119,"[1915, 478, 1924, 891, 1406]"
120,"[60, 1717, 1737, 648, 1428]"
121,"[1607, 368, 1157, 1186, 1725]"
122,"[1679, 1723, 1855, 1575, 1707]"
123,"[419, 1041, 1896, 1193, 886]"
124,"[1098, 132, 135, 1913, 930]"
125,"[1203, 687, 635, 1684, 660]"
126,"[1197, 1888, 1915, 124, 628]"
127,"[421, 1618, 1550, 1193, 1558]"
128,"[114, 535, 16, 1567, 507]"
129,"[1607, 368, 739, 372, 1157]"
130,"[115, 1655, 1722, 1555, 292]"
131,"[632, 1707, 1878, 1938, 687]"
132,"[1907, 1072, 1899, 1892, 787]"
133,"[1902, 1915, 1900, 478, 1924]"
134,"[1029, 1909, 1030, 1043, 421]"
135,"[739, 1725, 1186, 770, 627]"
136,"[1707, 1878, 1938, 1717, 1317]"
137,"[1098, 1894, 135, 717, 1580]"
138,"[1567, 1896, 331, 1072, 1927]"
139,"[885, 900, 1193, 1930, 990]"
140,"[411, 1869, 78, 655, 1203]"
141,"[687, 1869, 1567, 1723, 471]"
142,"[1899, 1926, 1916, 321, 1589]"
143,"[1193, 1034, 1029, 1927, 1149]"
144,"[1054, 114, 796, 508, 1723]"
145,"[1287, 645, 1895, 1784, 1737]"
146,"[78, 1707, 1878, 1938, 1317]"
147,"[1471, 1902, 521, 502, 516]"
148,"[37, 162, 1567, 43, 1193]"
149,"[1098, 447, 634, 1089, 1157]"
150,"[368, 1725, 1567, 1570, 1723]"
151,"[1915, 1861, 1197, 1193, 1809]"
152,"[114, 1900, 1027, 1113, 411]"
153,"[419, 1666, 1041, 1548, 425]"
154,"[78, 858, 1707, 1878, 1938]"
155,"[582, 692, 418, 888, 110]"
156,"[858, 1707, 1878, 1938, 1723]"
157,"[368, 1725, 135, 132, 1098]"
158,"[103, 1071, 868, 1567, 1748]"
159,"[888, 1604, 110, 692, 582]"
160,"[1664, 1667, 79, 1609, 1257]"
161,"[868, 103, 413, 1748, 1900]"
162,"[1567, 1193, 1539, 1625, 1892]"
163,"[1567, 1896, 1496, 1922, 1897]"
164,"[1894, 362, 18, 660, 1915]"
165,"[842, 858, 78, 111, 480]"
166,"[1570, 34, 1287, 1015, 516]"
167,"[665, 667, 1670, 1628, 1176]"
168,"[814, 813, 604, 86, 824]"
169,"[515, 1630, 273, 216, 1584]"
170,"[593, 597, 599, 590, 1772]"
171,"[1673, 1674, 1915, 892, 128]"
172,"[1907, 1567, 1448, 1896, 1519]"
173,"[1022, 1782, 1799, 1798, 1802]"
174,"[1193, 868, 1034, 904, 1616]"
175,"[794, 1313, 99, 1557, 867]"
176,"[1915, 18, 114, 85, 847]"
177,"[1607, 1193, 885, 1894, 18]"
178,"[321, 1894, 1922, 1897, 331]"
179,"[1888, 605, 1197, 1887, 126]"
180,"[1915, 1900, 1197, 60, 853]"
181,"[1098, 132, 135, 1699, 1737]"
182,"[1098, 1896, 368, 447, 1273]"
183,"[1902, 1915, 1032, 1193, 1900]"
184,"[1197, 412, 687, 1900, 417]"
185,"[1886, 1593, 1597, 1517, 1594]"
186,"[1193, 1072, 1894, 1065, 1927]"
187,"[1922, 1897, 113, 43, 48]"
188,"[1902, 1900, 114, 116, 1724]"
189,"[1806, 1852, 1854, 1856, 1857]"
190,"[1915, 1902, 368, 1725, 1900]"
191,"[114, 1915, 1113, 1516, 552]"
192,"[1193, 1149, 1034, 1574, 1612]"
193,"[1915, 1900, 1142, 1567, 1197]"
194,"[37, 1544, 18, 95, 413]"
195,"[1915, 1723, 18, 1900, 1300]"
196,"[103, 868, 1071, 1748, 413]"
197,"[1186, 770, 1725, 627, 669]"
198,"[1557, 1781, 1197, 1782, 1798]"
199,"[1922, 1929, 1897, 805, 1276]"
200,"[655, 1197, 1900, 606, 1915]"
201,"[1193, 113, 735, 1034, 919]"
202,"[1193, 1607, 1042, 1894, 1915]"
203,"[78, 1317, 1707, 1878, 1938]"
204,"[1607, 1725, 1157, 1852, 1854]"
205,"[1915, 1799, 1781, 1782, 1798]"
206,"[78, 1317, 1707, 1878, 1938]"
207,"[1197, 114, 411, 1737, 16]"
208,"[692, 582, 888, 1604, 606]"
209,"[1118, 420, 1541, 1540, 1553]"
210,"[1630, 1915, 1667, 911, 1197]"
211,"[1884, 1924, 478, 1670, 1120]"
212,"[868, 413, 103, 1748, 1900]"
213,"[1904, 1902, 114, 1589, 1922]"
214,"[79, 1675, 1737, 1729, 1676]"
215,"[1922, 1897, 1193, 43, 1894]"
216,"[1567, 16, 114, 1193, 116]"
217,"[1707, 1878, 1938, 1717, 463]"
218,"[1193, 1034, 1916, 101, 1588]"
