q_id,web_list
1,"[1567, 372, 135, 92, 1825]"
2,"[368, 372, 1607, 1555, 1045]"
3,"[1915, 516, 692, 677, 1934]"
4,"[1915, 408, 1592, 1043, 1924]"
5,"[1586, 1193, 1033, 1029, 1040]"
6,"[1915, 1721, 1302, 1592, 1934]"
7,"[1906, 1178, 901, 1928, 1831]"
8,"[1673, 1677, 1676, 904, 1674]"
9,"[1586, 1193, 1033, 1608, 1894]"
10,"[1897, 1915, 1922, 1924, 1884]"
11,"[1275, 16, 1915, 860, 44]"
12,"[1192, 1611, 1604, 1589, 1523]"
13,"[1915, 1897, 1922, 1884, 927]"
14,"[372, 1186, 368, 1567, 1607]"
15,"[1861, 363, 1885, 452, 1818]"
16,"[1915, 1344, 1592, 271, 265]"
17,"[368, 372, 1607, 1185, 377]"
18,"[1607, 748, 37, 1825, 740]"
19,"[1915, 1279, 1603, 1344, 1825]"
20,"[1915, 1897, 1922, 1544, 1558]"
21,"[1915, 1897, 1922, 786, 114]"
22,"[1804, 362, 832, 1781, 1934]"
23,"[1157, 1033, 1149, 470, 620]"
24,"[420, 1118, 124, 1197, 1320]"
25,"[1922, 1897, 1915, 927, 1721]"
26,"[1045, 606, 1062, 1931, 1607]"
27,"[420, 1197, 1902, 1201, 124]"
28,"[1915, 1543, 1899, 1526, 1552]"
29,"[1894, 1536, 1561, 1525, 1534]"
30,"[1884, 1897, 1922, 1904, 1543]"
31,"[911, 885, 670, 150, 140]"
32,"[1915, 1900, 1897, 1922, 1619]"
33,"[1897, 1922, 1915, 1924, 114]"
34,"[92, 1673, 1677, 331, 372]"
35,"[372, 1607, 368, 1157, 1186]"
36,"[927, 91, 1063, 441, 688]"
37,"[362, 1861, 340, 372, 1869]"
38,"[1607, 1186, 372, 363, 623]"
39,"[1915, 478, 1924, 1543, 1897]"
40,"[1915, 1934, 1930, 1607, 334]"
41,"[420, 1197, 1320, 1708, 1525]"
42,"[368, 1611, 717, 623, 1066]"
43,"[1721, 1861, 1863, 1846, 851]"
44,"[1915, 1861, 1846, 1265, 493]"
45,"[927, 210, 977, 975, 1710]"
46,"[1915, 1620, 1520, 1034, 1033]"
47,"[1899, 1904, 1587, 1627, 1905]"
48,"[1567, 1904, 1884, 1556, 1532]"
49,"[1901, 1897, 1922, 91, 927]"
50,"[1186, 1157, 372, 1185, 1033]"
51,"[372, 362, 1861, 363, 1186]"
52,"[1915, 1885, 478, 1901, 759]"
53,"[1567, 135, 92, 372, 1072]"
54,"[1915, 1885, 1934, 1588, 1870]"
55,"[372, 362, 1861, 1186, 363]"
56,"[43, 1521, 1523, 1532, 1529]"
57,"[1607, 1186, 372, 1602, 1157]"
58,"[1934, 340, 341, 773, 369]"
59,"[550, 1915, 1869, 679, 1870]"
60,"[1178, 1600, 688, 1602, 401]"
61,"[1157, 1069, 1186, 1080, 748]"
62,"[1915, 1924, 478, 1721, 1900]"
63,"[1915, 868, 1071, 1897, 1922]"
64,"[1646, 1072, 95, 103, 1065]"
65,"[1006, 1686, 210, 977, 975]"
66,"[1915, 1900, 1721, 1924, 478]"
67,"[773, 623, 739, 1729, 1647]"
68,"[420, 1073, 1516, 124, 1541]"
69,"[1915, 1344, 1592, 943, 1205]"
70,"[1608, 1894, 1613, 1567, 1530]"
71,"[1534, 1532, 1561, 1535, 1556]"
72,"[1700, 1321, 102, 1428, 342]"
73,"[1846, 1855, 930, 411, 160]"
74,"[1915, 1526, 1066, 1193, 1534]"
75,"[1915, 1899, 1526, 1528, 407]"
76,"[1915, 1193, 1033, 1598, 1586]"
77,"[1915, 408, 1666, 1344, 419]"
78,"[1934, 334, 1884, 691, 891]"
79,"[1915, 1205, 153, 470, 620]"
80,"[1032, 1906, 1899, 1526, 1915]"
81,"[390, 516, 1171, 1515, 512]"
82,"[1915, 1874, 1824, 1870, 1830]"
83,"[1915, 1721, 1344, 1901, 1934]"
84,"[368, 717, 1157, 135, 363]"
85,"[1915, 1344, 1043, 1721, 1919]"
86,"[1744, 1708, 1915, 16, 860]"
87,"[420, 1902, 1197, 1320, 124]"
88,"[1567, 1607, 1894, 1608, 1906]"
89,"[1607, 368, 1915, 1344, 1185]"
90,"[906, 1, 1295, 623, 1903]"
91,"[420, 1670, 1524, 1559, 1197]"
92,"[114, 1032, 16, 1113, 1897]"
93,"[1619, 1863, 1618, 37, 1781]"
94,"[1241, 1884, 1197, 1434, 1305]"
95,"[1915, 95, 1066, 1526, 93]"
96,"[1915, 1355, 1603, 759, 752]"
97,"[927, 872, 1861, 789, 918]"
98,"[1915, 1344, 95, 1710, 730]"
99,"[1717, 1707, 1878, 1938, 630]"
100,"[1620, 1899, 95, 1068, 1615]"
101,"[1915, 1279, 283, 1561, 1861]"
102,"[1607, 1825, 1602, 1344, 1603]"
103,"[1915, 759, 1897, 1920, 752]"
104,"[1904, 926, 1884, 1557, 1534]"
105,"[1772, 1847, 1846, 1844, 1848]"
106,"[1915, 1014, 1008, 1344, 1897]"
107,"[91, 446, 1654, 79, 1818]"
108,"[828, 654, 1895, 1877, 653]"
109,"[337, 28, 27, 5, 29]"
110,"[1607, 1603, 1344, 1502, 1825]"
111,"[1915, 1077, 1888, 1428, 293]"
112,"[419, 1666, 1193, 1620, 1649]"
113,"[1708, 420, 1707, 1878, 1938]"
114,"[1915, 1885, 1561, 1535, 1534]"
