q_id,web_list
1,"[1404, 1252, 501, 1567, 844]"
2,"[1098, 1607, 372, 1659, 1080]"
3,"[856, 116, 1724, 114, 1604]"
4,"[1043, 1680, 1590, 1924, 478]"
5,"[927, 1029, 1909, 1193, 1033]"
6,"[1929, 1592, 891, 688, 697]"
7,"[1252, 1470, 810, 808, 372]"
8,"[1673, 904, 1726, 898, 1677]"
9,"[1193, 927, 1340, 1909, 1894]"
10,"[454, 1884, 114, 455, 1924]"
11,"[1242, 860, 1536, 1275, 1899]"
12,"[1192, 1249, 114, 1604, 888]"
13,"[927, 1536, 1884, 1194, 1924]"
14,"[372, 368, 739, 768, 740]"
15,"[1707, 1878, 1938, 1806, 414]"
16,"[885, 361, 1207, 1809, 1304]"
17,"[372, 739, 1080, 1607, 368]"
18,"[1607, 1567, 1252, 452, 1908]"
19,"[416, 926, 1804, 1781, 1782]"
20,"[1915, 900, 862, 1545, 1536]"
21,"[1924, 114, 454, 116, 862]"
22,"[1804, 1619, 1801, 1802, 891]"
23,"[1809, 886, 823, 885, 1252]"
24,"[420, 1628, 1553, 102, 1197]"
25,"[1929, 926, 1589, 1592, 114]"
26,"[1607, 1270, 1265, 441, 1263]"
27,"[1902, 1552, 626, 623, 51]"
28,"[936, 478, 1915, 897, 589]"
29,"[1536, 1915, 1567, 1588, 1607]"
30,"[1884, 1904, 1896, 1924, 1567]"
31,"[885, 900, 927, 1033, 1049]"
32,"[114, 692, 856, 116, 1917]"
33,"[454, 1884, 455, 114, 862]"
34,"[1677, 1499, 1474, 521, 1506]"
35,"[368, 372, 1607, 740, 856]"
36,"[381, 927, 1012, 1775, 1769]"
37,"[269, 837, 853, 303, 1048]"
38,"[587, 372, 1158, 1186, 590]"
39,"[1567, 478, 1588, 677, 1408]"
40,"[1931, 514, 1655, 1932, 1070]"
41,"[1707, 1878, 1938, 1525, 1524]"
42,"[1599, 1581, 1607, 717, 1066]"
43,"[1643, 741, 791, 1660, 497]"
44,"[1707, 1878, 1938, 1159, 1422]"
45,"[16, 927, 1573, 1896, 1267]"
